Drug Name,Drug ID
Lac-Dose,1421-9862
Lac-Hydrin,180-10124
Lac-Hydrin 5,180-10126
Laclotion,180-10127
Lacri-Lube S.O.P.,1740-2327
Lacrisert,1740-2325
Lactaid,1421-2209
Lactaid Fast Act,1421-18637
Lactaid Ultra,1421-2211
Lactinex,1424-18566
Lactrase,1421-9861
Lagevrio,4327-20021
Lamictal,1430-848
Lamictal ODT,1430-13793
Lamictal XR,1430-13842
Lamisil,2161-1408
Lamisil AF Defense,2214-17053
Lamisil AT,2160-1407
Lampit,4178-19523
Lamzede,4447-20293
Lan-O-Soothe,1431-14060
Lanacane,2339-152
Lanolor Cream,1431-9352
Lanoxin,883-457
Lansinoh for Breast Feeding Mothers,1431-9353
Lantidra,4511-20471
Lantus,1344-803
Lantus SoloStar,1344-804
Lariam,1546-932
Larin 1.5/30,1044-16874
Larin 1/20,1044-16875
Larin 24 Fe,1044-17171
Larin Fe 1.5/30,1044-16325
Larin Fe 1/20,1044-16326
Larissia,1042-18115
Lasix,1146-676
Lastacaft,3252-14664
Latisse,3111-13655
Latuda,3278-14870
Lavacol,1035-10359
Laxmar,1967-4898
Layolis Fe,1044-17664
Lazanda,1074-15394
Lazcluze,4636-20826
Leader 8 Hour Pain Reliever,11-15182
Leader Allergy Relief D-24,1487-12456
Leader Lice Solution,1879-16470
Leader Nicotine Polacrilex,1716-13583
Lecithin-Softgels,1439-9091
Leena,1044-6744
Legatrin PM,64-8547
Lemtrada,115-16913
Lenmeldy,4594-20704
Lenvima,3604-17159
Leqembi,4426-20262
Leqselvi,4626-20803
Lescol,1127-1623
Lescol XL,1127-662
Lessina,1042-6789
Letairis,150-11227
Letybo,4586-20692
Leukeran,578-304
Leukine,2045-1335
Leustatin,684-336
Levaquin,1457-861
Levemir,1343-2388
Levitra,2290-1521
Levlen,1042-1716
Levonest,1042-15168
Levophed,1729-11363
Levora,1042-6773
Levoxyl,1463-868
Levsin,2513-11592
Levulan Kerastick,160-69
Lexapro,1013-565
Lexette,1228-19063
Lexiscan,2833-12709
Lexiva,1137-668
LiQsorb,2273-10700
Lialda,2336-5007
Libervant,862-20743
Librax,586-12724
Librium,585-305
Libtayo,3964-18962
Licart,871-19024
Lice Bedding Spray,1831-12508
LidaMantle,1465-1754
LidoPro,3381-16259
LidoRx,1465-16546
LidoRxKit,1465-17975
Lidocaine Viscous,1465-13584
Lidoderm,1465-4158
Life's DHA Adult,1749-20495
Likmez,1617-20579
Liletta,1461-17202
Lillow,1042-18156
Lincocin,1470-874
Linzess,3413-15864
Lipitor,276-128
Lipofen,1071-10396
Liptruzet,3469-16176
Liqrev,2061-20340
Liquibid-PD,1208-7910
Liquid PedvaxHIB,1223-10938
Liquimat Light,2134-9191
Liquimat Medium,2134-9192
Liquitears,1740-9393
Litfulo,4508-20468
Lithobid,1477-885
Lithostat,94-26
Little Noses,2949-13306
Little Noses Decongestant,2529-12078
Little Tummys,2065-4954
Livalo,3167-13987
Livdelzi,4634-20820
Livixil Pak,1468-17680
Livmarli,4303-19846
Livtencity,4312-19893
Lo Loestrin Fe,1044-14850
Lo/Ovral,1046-2095
LoHist-D,638-14263
LoJaimiess,1042-19531
LoKara,808-419
LoSeasonique,1042-13393
Locoid,2378-11900
Lodine,1054-4641
Lodoco,728-20455
Lodosyn,513-251
Lodrane D,430-2155
Loestrin 21 1.5/30,1044-6722
Loestrin 21 1/20,1044-6720
Loestrin 24 Fe,1044-6750
Loestrin Fe 1.5/30,1044-6723
Loestrin Fe 1/20,1044-6721
Lofena,869-19884
Lokelma,3912-18848
Lomaira,1851-18205
Lomotil,286-2148
Lonhala Magnair,1192-18738
Loniten,1638-3129
Lonsurf,3692-17544
Lopid,1165-687
Loprox,665-323
Loqtorzi,4486-20386
Loratadine-D 12 Hour,1487-18193
Loratadine-D 24 Hour,1487-14131
Lorazepam Intensol,1488-15120
Lorbrena,3974-18987
Lorcet,71-16713
Loreev XR,1488-19816
Lortab,71-748
Lortuss EX,721-15893
Loryna,947-15267
Lorzone,645-15493
Lotemax,1490-1766
Lotensin,332-151
Lotensin HCT,333-2251
Lotrel,174-77
Lotrimin AF Athlete's Foot Cream,707-10494
Lotrimin AF Athlete's Foot Powder,1626-6615
Lotrimin AF Deodorant Powder Spray,1626-17069
Lotrimin AF For Her Athlete's Foot Cream,707-10574
Lotrimin AF Jock Itch Cream,707-10575
Lotrimin AF Jock Itch Powder Spray,1626-13646
Lotrimin Ultra Athlete's Foot Cream,446-10152
Lotrimin Ultra Jock Itch Cream,446-10153
Lotrisone,373-1607
Lotronex,130-51
Lovaza,1749-2517
Lovenox,978-533
Low-Ogestrel-28,1046-6766
Loxitane,1494-905
Lubricant Eye Drops,1740-13673
Lucemyra,3910-18846
Lucentis,1990-2438
Luden's Honey Lemon Throat Drops,2767-12353
Ludent,2538-15629
Lugol's,1368-11104
Lumakras,4266-19752
Lumason,3568-16904
Lumify,410-18759
Lumigan,382-172
Lumisight,4605-20731
Lumizyme,123-14599
Lumoxiti,3959-18954
Lumryz,2091-20341
Lunesta,1030-1621
Lunsumio,4422-20240
Lupkynis,4234-19686
Lupron Depot,1445-856
Lustra-Ultra,1295-5537
Lutathera,3890-18765
Lutera,1042-6792
Luveris,1497-2213
Luxiq,371-2018
Luxturna,3881-18749
Luzu,3501-16372
Lybalvi,4267-19753
Lybrel,1042-2554
Lyfgenia,4572-20647
Lyleq,1730-19572
Lyllana,1019-19573
Lynparza,3580-16932
Lyrica,1937-2171
Lyrica CR,1937-18691
Lysodren,1643-1018
Lysteda,2224-14223
Lytgobi,4404-20168
Lyumjev,1349-19481
Lyvispah,318-19894
Lyza,1730-16312
M-End DMX,3360-15515
MICRhoGAM,2008-2220
Macrilen,3886-18757
Macrobid,1724-1082
Macrodantin,1724-1083
Macugen,1803-1677
Mag 64,3384-15894
Mag-G,1512-9750
Mag-Tab SR,1515-9824
Mag-al Plus,145-17074
MagDelay,3384-15895
MagGel,1516-9746
Magnevist,1150-678
Magtrate,1512-915
Makena,1299-15128
Malarone,278-129
Malarone Pediatric,278-10717
Mapap,11-21
Mapap Cold Formula,59-11029
Mapap Sinus Congestion and Pain,78-9930
Mar-cof CG,719-13674
Marcaine HCl,434-3235
Marcaine Spinal,434-3237
Margenza,4226-19666
Marinol,943-511
Marlissa,1042-15618
Marplan,1389-821
Marqibo,3410-15851
Massengill Douche,87-9021
Massengill Medicated Douche,2773-11711
Matulane,1945-1255
Mavenclad,684-19087
Mavyret,3855-18595
Max DHA,1749-20496
Max-Freeze,2767-19567
MaxEPA,1749-3872
Maxalt,2024-1310
Maxalt-MLT,2024-1309
MaxiTears Dry Eye Formula,1749-13835
MaxiVision Omega-3 Formula,1749-13718
Maxidex,812-1695
Maxifed,1213-7885
Maxifed DMX,850-8406
Maxifed-G CD,721-12963
Maxipime,544-271
Maxitrol,816-423
Mayzent,4001-19085
Medi-Pad,2313-18704
Medi-Quik,312-8797
Medi-Quik Spray,1465-4155
Medicone Hemorrhoidal,2528-14062
Medikoff Drops,2767-18196
Mediplast,2037-5409
Medrol,1607-980
Medrol Dosepak,1607-3550
Megace ES,1547-1818
Mekinist,3476-16221
Mektovi,3922-18877
Melatonin Sleep Time Release,4337-19936
Melfiat,1838-4531
Mellaril,2184-3715
Melpaque HP,1295-5521
Melquin HP,1295-5517
Men-phor,485-10806
MenHibrix,3411-15857
MenQuadfi,1552-19445
Menactra,1552-1991
Menostar,1019-1706
Menthac Arthritis Cream with Capsaicin,492-5551
Mentholatum Deep Heating,1601-9104
Mentholatum Pain Gel,1601-9116
Mentholatum Pain Patch,1601-9115
Menveo,1552-14376
Mepron,277-130
Mepsevii,3875-18717
Meridia,2060-1351
Merrem,1566-946
Merzee,1044-19673
Mesnex,1567-949
Mestinon,1971-2061
Metaglip,1180-696
Methergine,1605-974
Methitest,1609-3560
MethylPREDNISolone Dose Pack,1607-3549
Methylin,1606-975
Metozolv ODT,1612-13993
MetroCream,1618-989
MetroGel,1618-990
MetroLotion,1618-991
Metvixia,2415-12406
Mexar,2122-1380
Mexitil,1621-997
Mi-Acid,145-8662
Mi-Acid Double Strength,470-10400
Mi-Acid Gas Relief,2065-4971
Miacalcin,460-219
Miacalcin Nasal,460-4051
Mibelas 24 Fe,1044-18433
MicRhoGAM Ultra-Filtered Plus,2008-12149
Micaderm,1626-14066
Micardis,2152-1401
Micardis HCT,1269-2132
Micatin,1626-999
Micon 7,1626-6584
Micro-Guard,1626-6603
Microgestin 1.5/30,1044-6743
Microgestin 1/20,1044-6742
Microgestin 24 Fe,1044-17879
Microgestin Fe 1.5/30,1044-6735
Microgestin Fe 1/20,1044-6734
Microlipid,2941-13211
Midamor,154-65
Midol Extended Relief,1690-2618
Midol IB,1310-2586
Midol PM,64-8543
MigraTen,28-2270
Migranal,886-3380
Milantex,145-14776
Mili,1045-18124
Milk of Magnesia,1513-4732
Millipred,1933-12968
Millipred DP,1933-13809
Mineral Ice,2767-12048
Miniprin,243-16284
Minitran,2342-1085
Minivelle,1019-15959
Mintox,145-8687
Miostat,496-1600
Miplyffa,4642-20857
MiraLAX,1893-1224
Mirapex,1925-1238
Mirapex ER,1925-14374
Mircera,2786-12476
Mircette,807-9725
Mirena,1461-865
Mirvaso,3487-16327
Mitigare,728-16901
Mitigo,1656-18898
Mitosol,3374-15599
Mitrazol,1626-6583
Moban,1649-1022
Mobic,1549-934
Moderiba,2009-17692
Moderna COVID-19 Vaccine,4637-20828
Moduretic 5-50,155-6578
Moi-Stir,2534-11977
Moisture Drops,1740-9400
Moisture Eyes,1740-9440
Moisture Eyes PM,1740-9427
Mollifene,499-10021
Monistat 1 Combination Pack,1626-19122
Monistat 3,1626-19121
Monistat 7,1626-17693
Monjuvi,4172-19509
Mono-Linyah,1045-15694
Monoclate-P,216-11186
Monoferric,4125-19376
Monoject Prefill Advanced,3113-13889
Monoket,1401-826
Mononessa,1045-9721
Mononine,710-11177
Monopril,1140-672
Monopril HCT,1141-671
Monovisc,1251-17111
Morning After,1461-18829
Motegrity,3985-19022
Motpoly XR,2961-20369
Motrin Childrens,1310-2593
Motrin IB,1310-783
Motrin Infant Drops,1310-2607
Motrin Migraine Pain,1310-2601
Motrin PM,900-14563
Mounjaro,4363-20051
Mouth Kote,2534-15815
Movantik,3560-16894
MoviPrep,3155-13934
Moxatag,187-12407
Moxeza,1660-14936
Mozobil,3098-13513
MucaphEd,1208-16229
Mucinex,1200-719
Mucinex Children's Cough,846-16478
Mucinex Children's FreeFrom Multi-Symptom Cold & Flu Nighttime,4119-19491
Mucinex Children's Multi-Symptom Cold,847-15028
Mucinex D,1213-7880
Mucinex D Maximum Strength,1213-17391
Mucinex DM,846-8245
Mucinex DM Maximum Strength,846-17387
Mucinex Fast-Max DM Max,846-15900
Mucinex Fast-Max Night Time Cold & Flu,65-16480
Mucinex Fast-Max Severe Cold,56-16481
Mucinex Instasoothe Sore Throat + Cough Relief,4355-20029
Mucinex Maximum Strength,1200-17386
Mucinex Nightshift Cold & Flu,4118-19352
Mucinex Nightshift Cold & Flu Clear & Cool,4119-19351
Mucinex Nightshift Sinus,4119-19348
Mucinex Nightshift Sinus Clear & Cool,4119-19353
Mucinex Sinus-Max Full Force,2390-15908
Mucinex Sinus-Max Moisture Smart,2390-15909
Mucinex for Kids,1200-4488
Mucus D,1213-17802
Mucus Relief,1200-4470
Mucus Relief D,1213-15576
Mucus Relief DM,846-8255
Mucus Relief Sinus,1208-7970
Mulpleta,3932-18915
Multaq,3147-13913
Multihance,1148-10992
Multivitamins and Minerals,1665-20423
Murine Earwax Removal,499-10013
Muro 128,2077-9867
Mutamycin,1642-1017
My Choice,1461-18578
My Way,1461-16228
MyHist-PD,636-14270
MyKidz Iron FL,1664-9083
Myalept,3510-16387
Myambutol,1033-585
Mycamine,1624-998
Mycelex Troche,3106-13644
Mycinette Sore Throat Spray,2527-12006
Myco Nail A,2274-17118
Mycobutin,2011-1296
Mycocide NS,2214-12309
Mycostatin Topical,1736-10615
Mydcombi,4002-20370
Mydfrin,1854-10244
Mydriacyl,2263-1501
Myfembree,4262-19748
Myfortic,1672-1673
Myhibbin,1671-20748
Mylanta Gas Maximum Strength,2065-4964
Mylanta Maximum Strength,145-8690
Mylanta Supreme,470-226
Mylanta Tonight,471-18016
Mylicon,2065-1946
Mylocel,1302-5600
Mylotarg,1167-689
Myobloc,405-185
Myorisan,1403-15554
Myozyme,123-2405
Myrbetriq,3402-15755
Mysoline,1940-1250
Mytesi,3440-18219
Mytussin AC,719-8052
Myxredlin,1351-19268
N Ice,2767-12017
N Ice with Vitamin C,238-3837
N-A-C Sustain,97-19355
NAC,97-4252
Nabi-HB,1239-733
Naftin,1678-1040
Naglazyme,1156-680
Nalex A 12,636-7231
Nalex-A,635-1845
Nalfon,1073-612
Nalocet,72-18891
Namenda,1551-936
Namenda XR,1551-14616
Namzaric,3585-16944
Naphcon,1686-1046
Naphcon-A,1687-1977
Naprelan,1690-1591
Naprosyn,1690-1051
Narcan,1682-20269
Nardil,1839-1190
Nariz,1208-7951
Naropin,2028-1313
Naropin Polyamp,2028-10130
Naropin SDV,2028-10129
NasOpen,3369-15643
Nasacort Allergy 24HR,2400-16354
Nasal Four,2529-17120
NasalCrom,2872-12838
Nasalcare Rinse Starter Kit,2949-18602
Nascobal,754-3757
Nasonex 24HR Allergy,2416-20006
Natacyn,1694-1053
Natazia,3235-14539
Natesto,2167-16573
Natpara,3596-16961
Natrecor,1708-1063
Natroba,3295-15038
Natural Fiber Therapy,1967-4897
Nature's Bounty Probiotic,3205-19428
Nature-Throid,2189-4139
Navelbine,2302-1527
Navstel,3681-17534
Nayzilam,1628-19125
NebuSal,2410-16140
Nebupent,1818-1173
Necon 0.5/35,1044-6726
NeilMed Sinus Rinse Hypertonic Packets,2949-16486
NeilMed Sinus Rinse Kit,2949-16487
NeilMed Sinus Rinse Packets,2949-16488
NeilMed Sinus Rinse Pediatric Kit,2949-16489
NeilMed Sinus Rinse Pediatric Packets,2949-16490
NeilMed Sinus Rinse Small Kit,2949-16491
Neilmed Nasogel,2949-17257
Nemluvio,4633-20819
Neo-Polycin,313-17696
Neo-Polycin HC,309-17695
Neo-Synalar,3561-17123
Neo-Synephrine 12 Hour,2390-11786
Neo-Synephrine Extra Strength Nasal,2529-12079
Neo-Synephrine Mild Nasal,2529-12080
Neo-Synephrine Nasal,2529-12076
NeoBenz Micro,354-5280
NeoProfen,1310-2608
Neofrin,1854-1202
Neosporin,312-8795
Neosporin Ophthalmic,1196-8804
Neptazane,1580-4087
Nerlynx,3827-18584
Nesina,3448-16060
Neuac,355-17125
Neulasta,1805-2217
Neupogen,1090-624
Neupro,2033-2546
Neurontin,1147-677
NeutraSal,2534-14507
Neutragard,1110-14265
Neutral Sodium Fluoride Rinse,1110-10612
Neutrogena Acne Drying Gel,2313-9355
Neutrogena Acne Wash Oil Free,2037-5423
Neutrogena Healthy Scalp Dandruff Shampoo,2037-5424
Neutrogena Rapid Clear Stubborn Acne,354-18252
Neutrogena T/Derm,712-9222
Neutrogena T/Gel,712-9206
Neutrogena T/Gel Extra Strength,712-9216
Neutrogena T/Sal,2037-5490
Nevanac,1707-2037
New Day,1461-18947
New Skin Bandage,3282-19037
Nexafed Nasal Decongestant,1964-18710
Nexafed Sinus Pressure + Pain,82-18684
Nexavar,2101-2337
Nexium,1015-567
Nexium 24HR,1015-16510
Nexium IV,1015-1687
Nexletol,4132-19404
Nexplanon,1056-15396
Nexterone,167-13514
Nextstellis,4255-19735
Nexviazyme,4288-19801
NiaVasc,1711-20268
Niacin SR,1711-3589
Niacor,1711-1745
Niaspan,1711-1067
Nicoderm CQ,1716-1074
Nicorelief,1716-3603
Nicorette,1716-1071
Nicotrol Inhaler,1716-3600
Nicotrol NS,1716-1073
Niferex,1386-2059
Nikki,947-16571
Niktimvo,4635-20824
Nilandron,1718-1078
Nimbex,677-1650
Ninlaro,3711-17645
Nipent,1825-1177
Niphanoid,2170-14964
Nipride RTU,1726-18416
Nithiodote,3334-15395
Nitro TD Patch-A,2342-3616
Nitro-Bid,2342-3605
Nitro-Dur,2342-1086
NitroMist,2342-12408
Nitrol Appli-Kit,2342-3612
Nitropress,1726-3130
Nitrostat,2342-1090
Nityr,1722-18589
Nivanex DMX,847-17404
Nivestym,1090-18895
Nix Complete Lice Treatment System,1831-12431
Nix Cream Rinse,1831-5336
Nix Lice Control,1831-5345
Nizoral,1412-837
Nizoral A-D,1413-836
Nizoral Topical,1413-835
NoDoz,450-1820
NoHist DM,612-16141
NoHist LQ,631-15931
NoHist-A,635-12336
Noctiva,806-18415
Nolix,1119-18549
Nora-Be,1730-3980
Norco,71-8487
Norditropin FlexPro,2100-14402
Norel AD,42-15693
Norflex,1757-1123
Norgesic,250-8648
Norgesic Forte,250-8649
Norinyl 1+35,1044-6716
Noritate,1618-6661
Norliqva,172-19988
Norlyroc,1730-16562
Norpace,916-480
Norpace CR,916-481
Norske Skin Therapy,2308-17129
Northera,3509-16385
Nortrel 0.5/35,1044-6747
Nortrel 7/7/7,1044-6738
Norvasc,172-78
Norvir,2021-1306
Nostrilla,2390-11772
Nourianz,4086-19188
NovaFerrum 50,1386-16203
NovaFerrum Pediatric,1386-17155
Novarel,656-4031
NovoEight,216-16362
NovoLog FlexPen,1341-10715
NovoLog Mix 70/30,1342-10797
NovoLog Mix 70/30 FlexPen,1342-10798
NovoLog PenFill,1341-10714
NovoSeven RT,711-12692
Novocain,1944-5623
Novolin 70/30,1348-10462
Novolin N,1347-1565
Novolin R,1351-1569
Novolog,1341-802
Noxafil,1902-2460
Nozin,1035-18569
Nozin POPswab,1035-19017
Nu-Iron 150,1386-9773
Nu-Mag,3384-19133
NuLYTELY,3155-13935
NuZole,1626-16492
Nubeqa,4027-19161
Nucala,3704-17615
Nucofed Pediatric Expectorant,721-8138
Nucynta,3132-13978
Nucynta ER,3132-15413
Nuedexta,3281-14874
Nulibry,4244-19703
Nulojix,3331-15376
Numoisyn,2534-11994
Nupercainal,864-2196
Nuplazid,3747-17998
Nuprin Backache,1517-18705
Nuquin HP,1295-5516
Nurtec ODT,4136-19408
Nutraplus,2277-4114
NutreStore,3011-13450
Nutropin AQ,2100-1722
NuvaRing,1041-589
Nuvessa,1618-17310
Nuvigil,234-11228
Nuvira,4543-20588
Nuwiq,216-17540
Nuzyra,3968-18971
Nyamyc,1736-14565
Nylia 1/35,1044-18276
Nylia 7/7/7,1044-18274
Nymalize,1719-16184
Nymyo,1045-19670
Nypozi,1090-20777
Nystop,1736-1105
Nytol QuickCaps,896-16204
Nyvepria,1805-19476
Ocaliva,3753-18026
Ocean,2949-13309
Ocean Complete,2949-16493
Ocean Kids,2949-13310
Ocella,947-13031
Ocrevus,3798-18440
Ocrevus Zunovo,4641-20852
Octagam,1325-5040
Ocu-Caine,1952-5145
Ocu-Trol,816-8828
OcuCoat,1300-16499
Ocuflox,1742-1108
Ocupress,530-10112
Ofev,3570-16909
Ofirmev,11-14872
Oforta,1098-13971
Ogen 1.25,1028-3970
Ogestrel 0.5/50,1046-17705
Ogivri,2226-18732
Ogsiveo,4568-20640
Oleptro,2228-14370
Olinvyk,4180-19525
Olpruva,2092-20241
Olumiant,3917-18860
Olux,696-350
Olux-E,696-5350
Olysio,3502-16373
Omacor,1749-3878
Omeclamox-Pak,3408-15934
Omega Essentials,1749-15935
Omega Essentials Basic,1749-15936
Omega MonoPure 1300 EC,1749-20498
Omega MonoPure 650 EC,1749-20499
Omega MonoPure DHA EC,1749-20500
Omega Monopure,1749-20497
Omega-3,1749-15695
Omega-3 D-3 Wellness Pack,1749-20501
Omega-3 Fish Oil,1749-20502
Omega-V Benefits,1749-20503
OmegaXL,1749-20510
Omegapure 600 EC,1749-20504
Omegapure 780 EC,1749-20505
Omegapure 820,1749-20506
Omegapure 900 EC,1749-20507
Omegapure 900-TG,1749-20508
Omegapure PRM,1749-20509
Omera,1749-20511
Omisirge,4468-20332
Omlonti,4401-20164
Omnaris,2764-12415
Omnicef,542-269
Omnicef Omni-Pac,542-10373
Omnii Gel Just For Kids,1110-10609
Omnipen-N,196-2568
Omnipred,1934-12176
Omniscan,1149-10156
Omnitrope,2100-4040
Omontys,3385-15654
Omvoh,4557-20615
Oncaspar,1804-1158
Onexton,355-16924
Onfi,3350-15449
Ongentys,4148-19444
Onglyza,3160-13964
Onivyde,3698-17600
Onmel,1406-15779
Onpattro,3948-18924
Onsolis,1074-13927
Ontruzant,2226-19044
Onureg,293-19542
Onxol,1778-1146
Ony-Clear,1626-6592
Onyda XR,704-20753
Opana,1773-2454
Opcicon One-Step,1461-16892
Opcon-A,1687-8794
Opdivo,3583-16936
Opdualag,4349-20008
Opfolda,1632-20582
Ophthaine,1952-5142
Ophthetic,1952-2414
Opill,1733-20372
Opsumit,3496-16361
Opsynvi,4598-20708
Opti-Clear,2174-4317
Opti-Free Pure Moist Rewetting Drops,1740-17156
OptiFlex Complete,654-15937
OptiFlex-C,2547-15435
Optiflex-G,1182-15436
Optigene 3,2174-4312
Optimoist,2534-11979
Optimum Charcoal,574-4999
Optimum Magnesium Gluconate,1512-9751
Option 2,1461-17962
Optiray 300,1377-5671
Optiray 320,1377-5672
Optiray 350,1377-5673
Optison,1828-10770
Optivar,299-143
Opuviz,3354-20751
Opvee,1681-20391
Opzelura,4300-19842
Ora Relief Throat,2527-18677
OraMagic Rx,2348-12598
Orabase,2339-15354
Oracea,940-2521
Oracit,683-2194
Orajel,2339-4549
Orajel Dry Mouth Moisturizing,2534-14439
Oral B Anti-Cavity,1110-10593
Oralair,3539-17157
Oralone,2233-12332
Orap,1872-1212
Orapred ODT,1933-2500
Oravig,1625-14623
Orazinc,2329-10141
Orbactiv,3551-16858
Orencia,6-2322
Orenitram,2229-16378
Orfadin,1722-1979
Orgovyx,4227-19668
Oriahnn,4157-19468
Orilissa,3930-18899
Orkambi,3636-17451
Orladeyo,4224-19663
Orlynvah,4651-20912
Ornex,82-11
Ornex Maximum Strength,82-6918
Orphengesic Forte,250-8650
Orserdu,4430-20278
Ortho Cyclen,1045-9718
Ortho DF,3740-18921
Ortho Evra,1043-10758
Ortho Micronor,1730-2266
Ortho Tri-Cyclen,1045-9717
Ortho-Novum 7/7/7,1044-6715
Orthovisc,1251-2150
Ortikos,431-19544
Os-Cal Calcium+D3,2917-17929
Os-Cal Extra D3,2917-17930
Oscion,354-5286
Oscion Cleanser,354-5282
Oseni,3449-16061
Osmitrol,2385-2010
OsmoPrep,2565-12071
Osmolex ER,148-18795
Osphena,3458-16104
Osteo Bi-Flex,654-10633
Osteo Bi-Flex Advanced,655-11056
Otezla,3516-16399
Otovel,3751-18017
Otrexup,1590-16355
Otulfi,3175-20861
Ovace,2122-1381
Ovace Plus,2122-12507
Ovega-3 Vegetarian,1749-17555
Ovide,1520-924
Ovidrel,656-320
Oxandrin,1762-1126
Oxaydo,1770-17299
Oxbryta,4107-19280
Oxecta,1770-15377
Oxipor VHC,712-9218
Oxistat,1766-1130
Oxlumo,4204-19608
Oxsoralen-Ultra,1593-5641
Oxtellar XR,1765-15960
Oxy Balance,354-5275
"Oxy Balance Daily Cleaning, Normal Skin",2037-5488
"Oxy Balance Deep Pore Cleansing, Gentle",2037-5486
Oxy Daily Wash,354-14088
Oxy Daily Wash Chill Factor,354-5289
Oxy Face Scrub Chill Factor,2037-5498
Oxy-10,354-5262
OxyContin,1770-2012
OxyIR,1770-1138
Oxyfast,1770-1140
Oxytrol,1768-1547
P-A-C Analgesic,248-8559
PC Tar,712-13429
PEG-3350 with Electolytes,3155-13936
PEG3350,1893-14799
PHOS-NaK,1921-3845
PR Benzoyl Peroxide Wash,354-18258
Pacerone,167-72
Pacnex,354-13881
Padcev,4111-19337
Pain Stick Arthritis Formula,1601-9131
Pain Stick Sports Formula,1601-9132
Pain-A-Lay Gargle,2527-12002
PainZone,1601-12455
Palforzia,4129-19385
Palmers Skin Success Eventone Fade,1295-17180
Palynziq,3915-18852
Pamelor,1734-1100
Pamine,1596-970
Pamine Forte,1596-971
Pamprin Cramp Menstrual Pain Relief,3299-15131
PanOxyl,354-1595
PanOxyl 10% Acne Foaming Wash,354-18255
Panatuss DXP,818-15258
Panatuss PED,2920-17311
Panatuss Pediatric DXP,818-15938
Pancreatin 4X,1786-4806
Pandel,2378-11951
Panhematin,1234-2202
Panlor,26-18786
Panmycin,2173-2653
Panretin,125-48
Panzyga,1325-18948
Paracetamol,11-2744
Paraflex,645-4696
Paraplatin,525-262
Parcaine,1952-5144
Parlodel,414-188
Parnate,2225-2342
Parsabiv,3784-18364
Pataday,1746-10179
Pataday Once Daily Relief,1746-19395
Pataday Twice Daily Relief,1746-19397
Patanase,2830-12621
Patanol,1746-1115
Pavblu,3354-20827
Paxil,1800-1156
Paxil CR,1800-1155
Paxlovid,4326-19915
Pazeo,1746-17087
Pecgen DMX,846-17182
Pedi-Dri,1736-10614
Pedia-Lax Chewable Tablets,1513-13944
Pedia-Lax Liquid Glycerin Suppositories,3159-13954
PediaCare Children's Multi-Symptom Cold,852-11127
PediaPred,1933-1248
PediaTan,604-3258
Pediaderm AF,1736-14965
Pediarix,3272-14852
Pedipirox-4,665-15939
PegIntron,1807-10739
Pegasys,1806-1159
Pemazyre,4145-19438
Pemfexy,1809-19393
Pemgarda,4597-20707
Penlac,665-324
Penlac Nail Lacquer,665-5315
Pennsaid,871-14221
Pentacel,2940-13204
Pentam 300,1818-2641
Pentasa,2336-947
Pep-Back Peak Performance,450-12129
Pep-Back ReCharge,450-17238
Pepaxto,4253-19730
Pepcid,1066-603
Pepcid Complete,467-602
Peptic Relief,391-4933
Pepto-Bismol,391-177
Percocet,72-1135
Percodan,266-1137
Percogesic Extra Strength,64-12231
Percogesic Original Strength,64-15437
Percy Medicine,391-17240
Perforomist,1136-2565
Peri-Colace,924-8745
Peridex,588-5170
Perio Med,1110-10585
PerioChip,588-5179
Periogard,588-5171
Perjeta,3400-15726
Persa-Gel,354-5231
Persantine,914-479
Perseris,2019-18913
Pharbetol,11-13965
Phazyme,2065-4945
Pheburane,2092-20076
Phena-Plus,636-1853
Phena-S,636-1850
Phenadoz,1949-4370
Phenagil,631-18478
Phenaseptic Cherry,2527-19144
Phenergan,1949-1259
Phenergan VC,1857-7269
Phenohytro,288-17986
Phenytek,1863-1204
"Phenytoin Sodium, Prompt",1863-3165
Phesgo,4162-19486
Phexxi,4156-19467
Philith,1044-15531
Phillips Colon Health,3205-14441
Phillips' Cramp-free,1516-9747
Phillips' Milk of Magnesia,1513-916
Phlemex,846-8253
Phlemex Forte,847-8343
Phoslyra,462-15293
Phospha 250 Neutral,1921-3846
Phosphasal,3594-18307
Phospho-Trin 250 Neutral,1921-18533
Phospholine Iodide,956-522
Photofrin,1901-1225
Photrexa,3764-18413
Phyrago,787-20644
Phytoplex Clear-Aid,4316-19973
PiaSky,4620-20769
Picato,3363-15583
Pifeltro,3956-18936
Pilocar,1869-1210
Pimtrea,807-16286
Pin-Away,1969-19358
Pink Bismuth,391-4931
Pinworm Medicine,1969-5022
Piqray,4016-19126
Pirmella 1/35,1044-16174
Pirmella 7/7/7,1044-16173
Pitocin,1777-1145
Pivya,4609-20739
Plan B One-Step,1461-13923
Plaquenil,1298-4616
Plasbumin-25,108-5731
Plasbumin-25 (Low Aluminum),108-5739
Plasbumin-5,108-5729
Platinol,678-13569
Plavix,705-360
Plegridy,3555-16863
Plenaxis,5-3
Plendil,1069-609
Plenvu,3155-18844
Pletal,668-326
Plexion,2123-10083
Pliaglis,1469-14568
Pluvicto,4350-20014
Pneumovax 23,3319-15329
Podocon-25,1889-5504
Polaramine,824-4336
Polivy,4020-19137
Polocaine,1562-943
Polocaine-MPF,1562-5629
Poly Hist Forte,3517-16504
Poly Hist PD (old formulation),636-16507
